ADESIVOS					
Código	Descrição do Serviço	Qtde	Tam	Prazo	Preço R$
EAD480	ADESIVO PAPEL BRANCO A4 - 120g - ADESIVO PAPEL - 4X0	480	45 x 51	1	R$ 75,00
EAD240	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	240	45 x 51	1	R$ 38,50
EAD48	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	48	45 x 51	1	R$ 8,50
EPA01500	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	500	91 x 102	1	R$ 209,00
EPA02500	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	500	91 x 204	1	R$ 415,00
EPA03500	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	500	91 x 51	1	R$ 115,00
EPA04250	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	250	91 x 51	1	R$ 75,00
EPA05250	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	250	91 x 102	1	R$ 115,00
EPA06250	ADESIVO PAPEL BRANCO FOLHA - 120g - ADESIVO PAPEL - 4X0	250	91 x 204	1	R$ 209,00
AD0002M	ADESIVO VINIL METALIZADO - 120g - METALIZADAS COM TINTA BRANCA - 4X0	500	91 x 204	1	R$ 469,00
ADP003M	ADESIVO VINIL METALIZADO - 120g - METALIZADAS COM TINTA BRANCA - 4X0	250	91 x 51	1	R$ 78,00
ADP004M	ADESIVO VINIL METALIZADO - 120g - METALIZADAS COM TINTA BRANCA - 4X0	250	91 x 102	1	R$ 123,00
ADPM005	ADESIVO VINIL METALIZADO - 120g - METALIZADAS COM TINTA BRANCA - 4X0	250	91 x 204	1	R$ 235,00
ADTPM500	ADESIVO VINIL METALIZADO - 120g - METALIZADAS COM TINTA BRANCA - 4X0	500	91 x 102	1	R$ 234,00
AVP500M	ADESIVO VINIL METALIZADO - 120g - METALIZADAS COM TINTA BRANCA - 4X0	500	91 x 51	1	R$ 123,00
EAP240M	ADESIVO VINIL METALIZADO - 120g - METALIZADAS COM TINTA BRANCA - 4X0	240	45 x 51	1	R$ 39,00
EAP480M	ADESIVO VINIL METALIZADO - 120g - METALIZADAS COM TINTA BRANCA - 4X0	48	45 x 51	1	R$ 8,50
ADP0002	ADESIVO VINIL BRANCO BRILHO - 120g - METALIZADAS SEM TINTA BRANCA - 4X0	500	91 x 204	1	R$ 469,00
ADP003	ADESIVO VINIL PRATA - 400g - METALIZADAS SEM TINTA BRANCA - 4X0	250	91 x 51	1	R$ 78,00
ADP004	ADESIVO VINIL PRATA - 400g - METALIZADAS SEM TINTA BRANCA - 4X0	250	91 x 102	1	R$ 123,00
ADP005	ADESIVO VINIL PRATA - 400g - METALIZADAS SEM TINTA BRANCA - 4X0	250	91 x 204	1	R$ 235,00
